place_overall,place_gender,nombre,pais,category,event,finish,gender
Place (Overall),Place (Gender),Sin nombre,Sin país,,Elite,Sin tiempo,M
1,1,"MUNYAO, Alexander Mutiso",KEN,–,Elite,02:04:01,M
2,2,"BEKELE, Kenenisa",ETH,–,Elite,02:04:15,M
3,3,"CAIRESS, Emile",GBR,–,Elite,02:06:46,M
4,4,"MAHAMED, Mahamed",GBR,–,Elite,02:07:05,M
5,5,"CHAHDI, Hassan",FRA,–,Elite,02:07:30,M
6,6,"TESFAY, Henok",ERI,–,Elite,02:09:22,M
7,7,"PFEIFFER, Hendrik",GER,–,Elite,02:10:00,M
8,8,"ATANAW, Kinde",ETH,–,Elite,02:10:03,M
9,9,"MOTSCHMANN, Johannes",GER,–,Elite,02:10:39,M
Place (Overall),Place (Gender),Sin nombre,Sin país,,Elite,Sin tiempo,W
14,1,"JEPCHIRCHIR, Peres",KEN,18-39,Elite,02:16:16,W
15,2,"ASSEFA, Tigst",ETH,18-39,Elite,02:16:23,W
16,3,"JEPKOSGEI, Joyciline",KEN,18-39,Elite,02:16:24,W
18,4,"ALEMU, Megertu",ETH,18-39,Elite,02:16:34,W
24,5,"KOSGEI, Brigid",KEN,18-39,Elite,02:19:02,W
26,6,"CHEPKIRUI, Sheila",KEN,18-39,Elite,02:19:31,W
32,7,"KETEMA, Tigist",ETH,18-39,Elite,02:23:21,W
33,8,"YEHUALAW, Yalemzerf",ETH,18-39,Elite,02:23:26,W
36,9,"CHEPNGETICH, Ruth",KEN,18-39,Elite,02:24:36,W
Place (Overall),Place (Gender),Sin nombre,Sin país,,Mass,Sin tiempo,M
1,1,"Kalideni, Malixole",RSA,18-39,Mass,02:14:27,M
2,2,"James, George",GBR,18-39,Mass,02:14:59,M
3,3,"Dahlke, Jonathan",GER,18-39,Mass,02:15:42,M
4,4,"Maunsell, William",IRL,18-39,Mass,02:16:34,M
5,5,"Hogan, Sean",GBR,18-39,Mass,02:17:02,M
6,6,"Nipperess, James",AUS,18-39,Mass,02:17:17,M
7,7,"Malusi, Yanga",RSA,18-39,Mass,02:17:34,M
8,8,"Fukuda, Yudai",JPN,18-39,Mass,02:18:41,M
9,9,"Torry, Nicholas",GBR,45-49,Mass,02:18:46,M
Place (Overall),Place (Gender),Sin nombre,Sin país,,Mass,Sin tiempo,W
325,1,"Fink, Anja",SLO,18-39,Mass,02:33:53,W
475,2,"Smith, Molly",GBR,18-39,Mass,02:36:22,W
478,3,"Eykelbosch, Alex",GBR,18-39,Mass,02:36:26,W
544,4,"Hopkins, Verity",GBR,18-39,Mass,02:37:17,W
594,5,"Reed, Lauren",GBR,40-44,Mass,02:38:02,W
655,6,"MURRAY, Rebecca",GBR,18-39,Mass,02:38:52,W
770,7,"Olding, Katie",GBR,18-39,Mass,02:40:08,W
840,8,"Marchant, Emily",GBR,18-39,Mass,02:41:07,W
849,9,"Bunting, Rebecca",GBR,40-44,Mass,02:41:14,W
